consulta,motor,rank,doc_id,score,fuente,idioma,url,relevante
player injury world cup,Semantico,5,90,0.4756,Marca,es,https://www.marca.com/futbol/mundial/2026/07/12/mejores-semifinales-historia-estara-top-4-ranking-fifa-completo-primera-vez.html,
fifa organización torneo,BM25,1,117,5.778,Marca,es,https://www.marca.com/futbol/mundial/2026/07/21/cubarsi-laporte-fuera-xi-ideal-mundial-2026.html,
fifa organización torneo,Semantico,1,101,0.6139,Marca,es,https://www.marca.com/futbol/mundial/2026/07/29/duro-procedimiento-disciplinario-fifa-incidentes-ocurridos-durante-final-mundial.html,
fifa organización torneo,BM25,2,53,3.982,BBC News,es,https://www.bbc.com/mundo/articles/cly92wy3re4o,
fifa organización torneo,Semantico,2,158,0.5991,Vida Extra,es,https://www.vidaextra.com/deportes/ea-sports-ha-vuelto-a-hacer-al-adivinar-quinta-vez-consecutiva-cual-seria-seleccion-que-ganaria-mundial-futbol-2026,
fifa organización torneo,BM25,3,22,3.9234,BBC News,es,https://www.bbc.com/mundo/articles/cd7lx5rr51go,
fifa organización torneo,Semantico,3,117,0.5941,Marca,es,https://www.marca.com/futbol/mundial/2026/07/21/cubarsi-laporte-fuera-xi-ideal-mundial-2026.html,
fifa organización torneo,BM25,4,33,3.9234,Merca20.com,es,https://www.merca20.com/despues-del-mundial-2026-como-las-marcas-convierten-los-momentos-del-torneo-en-historias-de-innovacion/,
fifa organización torneo,Semantico,4,283,0.5709,The-afc.com,en,https://www.the-afc.com/en/more/afc_news.html/news/afc-stands-in-solidarity-with-uefa-and-concacaf-to-protect-the-fifa-world-cup,
fifa organización torneo,BM25,5,45,3.8665,Gizmodo.com,es,https://es.gizmodo.com/argentina-vs-espana-en-vivo-gratis-donde-ver-la-final-del-mundial-2026-desde-cualquier-lugar-2000246501,
fifa organización torneo,Semantico,5,53,0.5564,BBC News,es,https://www.bbc.com/mundo/articles/cly92wy3re4o,
estadio sede partido,BM25,1,62,5.8135,Marca,es,https://www.marca.com/futbol/mundial/2026/07/17/lagrimas-arbitro-slavko-vincic-conocer-pitara-final-espana-vs-argentina-mundial-video.html,
estadio sede partido,Semantico,1,114,0.6419,Marca,es,https://www.marca.com/futbol/mundial/2026/07/13/secretos-estadio-semifinal-cesped-estara-preparado-juego-rapido.html,
estadio sede partido,BM25,2,154,5.1632,Marketingdirecto.com,es,https://www.marketingdirecto.com/anunciantes-general/del-estadio-calle-asi-conquistado-mundial-marcas-moda,
estadio sede partido,Semantico,2,35,0.5437,El Mundo,es,https://www.elmundo.es/deportes/futbol/mundial-de-futbol/2026/07/20/6a5d4ed1e4d4d88d6c8b457a.html,
estadio sede partido,BM25,3,170,5.0952,Marca,es,https://www.marca.com/futbol/seleccion/2026/07/29/luis-fuente-conquistar-mundial-seguiremos-intentando-cosas-igual-bien-video.html,
estadio sede partido,Semantico,3,144,0.5122,Marca,es,https://www.marca.com/futbol/seleccion/2026/07/21/cantico-argentino-bote-colo-fiesta-mundial-video.html,
estadio sede partido,BM25,4,19,3.8492,Creativosonline.org,es,https://www.creativosonline.org/el-branding-se-juega-en-los-estadios-y-en-las-redes-las-marcas-se-adaptan-a-un-nuevo-escenario.html,
estadio sede partido,Semantico,4,47,0.4508,Gizmodo.com,es,https://es.gizmodo.com/argentina-vs-inglaterra-en-vivo-gratis-donde-ver-la-semifinal-del-mundial-2026-desde-cualquier-lugar-2000245959,
estadio sede partido,BM25,5,48,3.7965,Gizmodo.com,es,https://es.gizmodo.com/francia-vs-espana-en-vivo-donde-ver-gratis-la-semifinal-del-mundial-2026-desde-cualquier-lugar-2000245955,
estadio sede partido,Semantico,5,278,0.45,Abcnews.com,en,https://abcnews.com/video/134884586/,
